genre,rank_within_genre,tmdb_id,title,release_year,release_date,popularity,vote_average,vote_count,poster_url,overview,source_tmdb_genres,source_sort_orders
Children's,1,1007757,Swapped,2026,2026-05-01,141.9467,8.96,1798,https://image.tmdb.org/t/p/w500/tHhxWxge06goXU6ZQH1hj7vK8Hd.jpg,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",Family,primary_release_date.desc|popularity.desc|vote_average.desc
Children's,2,1301421,The Sheep Detectives,2026,2026-04-30,212.1504,7.642,316,https://image.tmdb.org/t/p/w500/6QtL9rl3Zb4d8qW6EJ4qO5hSSfU.jpg,"George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers.",Family,primary_release_date.desc|popularity.desc
Children's,3,1226863,The Super Mario Galaxy Movie,2026,2026-04-01,176.8494,8.223,2827,https://image.tmdb.org/t/p/w500/eJGWx219ZcEMVQJhAgMiqo8tYY.jpg,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade.",Family,primary_release_date.desc|popularity.desc|vote_average.desc
Children's,4,1327819,Hoppers,2026,2026-03-04,101.61,8.199,1727,https://image.tmdb.org/t/p/w500/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",Family,primary_release_date.desc|popularity.desc|vote_average.desc
Children's,5,1297842,GOAT,2026,2026-02-11,63.1497,8.122,842,https://image.tmdb.org/t/p/w500/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",Family,primary_release_date.desc|popularity.desc|vote_average.desc
Children's,6,1472638,Buen Camino,2025,2025-12-25,4.1598,6.252,571,https://image.tmdb.org/t/p/w500/9wpeQoaIJxsqULF6OvslFW1gDCT.jpg,"Checco's life is a comfortable and luxurious one, and it couldn't be otherwise, considering he's the only son of Eugenio Zalone, a wealthy sofa manufacturer. Stranded by the pool in his luxurious villas, with an unspecified number of Filipinos serving him, a very young Mexican model as a girlfriend, and vacationing on his yacht with friends who share his passion for not wanting to work; it seems like a truly enviable life, considering he lacks nothing, absolutely nothing. Actually, no. Something is missing. It's his underage daughter, Cristal, named after the famous French sparkling wine, who has suddenly disappeared without a trace. Urgently summoned to Rome by his ex-wife, Linda, he finds himself facing the responsibilities of fatherhood for the first time, trying to find the girl—a very complicated task, considering he knows absolutely nothing about Cristal and her life.",Family,primary_release_date.desc
Children's,7,991494,The SpongeBob Movie: Search for SquarePants,2025,2025-12-16,21.9019,6.85,307,https://image.tmdb.org/t/p/w500/xJnOMMsFASxNiFnG7v3TNIQ3ife.jpg,"Desperate to be a big guy, SpongeBob sets out to prove his bravery to Mr. Krabs by following The Flying Dutchman – a mysterious swashbuckling ghost pirate – on a seafaring adventure that takes him to the deepest depths of the deep sea, where no Sponge has gone before.",Family,primary_release_date.desc|popularity.desc
Children's,8,1084242,Zootopia 2,2025,2025-11-26,72.2435,7.671,2993,https://image.tmdb.org/t/p/w500/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",Family,primary_release_date.desc|popularity.desc
Children's,9,1248226,Playdate,2025,2025-11-04,10.9146,6.108,612,https://image.tmdb.org/t/p/w500/fGodXWqJkkkbSebPIlxLSygV8GY.jpg,"When out-of-work accountant Brian joins stay-at-home dad Jeff for a playdate with their sons, he expects a laid-back afternoon. Instead, they're chased by mercenaries, and Brian—totally unprepared—must survive one absurd obstacle after another.",Family,primary_release_date.desc
Children's,10,1125257,Freakier Friday,2025,2025-08-06,34.1986,6.8,718,https://image.tmdb.org/t/p/w500/9wV65OmsjLAqBfDnYTkMPutXH8j.jpg,"Years after Tess and Anna endured an identity crisis, Anna now has a daughter of her own and a soon-to-be stepdaughter. As they navigate the myriad challenges that come when two families merge, Tess and Anna discover lightning might indeed strike twice.",Family,primary_release_date.desc|popularity.desc
